;session;sex;age
0;2288085;F;20
0;2287897;F;23
0;2288238;F;21
0;2288407;M;21
0;2289014;M;42
0;2288669;F;23
0;2289358;M;22
0;2288822;F;63
0;2289205;F;28
0;2289511;F;24
0;2289757;F;22
0;2289708;F;28
0;2290344;F;21
0;2291471;M;25
0;2293305;F;38
0;2292900;F;22
0;2293458;M;38
0;2294132;F;50
0;2294285;M;99
0;2293787;F;73
0;2294445;F;59
0;2294738;F;62
0;2302351;M;40
0;2303434;M;66
0;2303587;F;64
