,Kultur,count_M,count_F,count_all,mean_age_all,min_age_all,max_age_all,SD_age_all,M_mean_age,M_SD_age,F_mean_age,F_SD_age
0,Deutsch,9,12,21,43.476190476190474,20,73,18.075553202675888,41.888888888888886,17.21397652067415,44.666666666666664,18.607047649270484
1,Armenisch,4,9,13,26.23076923076923,18,43,8.358817050588385,36.0,8.860022573334675,21.88888888888889,2.1829869671542776
