Language,Emotion,Original [%],F0 [%],Tempo [%]
Deutsch,Freude,54.8,72.0,40.5
Deutsch,Ekel,45.2,45.2,36.3
Deutsch,neutral,75.6,53.0,68.5
Deutsch,Trauer,66.1,65.5,50.6
Deutsch,Angst,58.9,72.6,70.2
Deutsch,Wut,91.7,78.0,94.6
Armenisch,Freude,34.6,51.9,24.0
Armenisch,Ekel,51.9,45.2,34.6
Armenisch,neutral,77.9,49.0,76.0
Armenisch,Trauer,53.8,50.0,38.5
Armenisch,Angst,59.6,58.7,57.7
Armenisch,Wut,83.7,71.2,90.4
