Prosodischer Ausdruck,Angst,Ekel,Freude,Trauer,Wut,neutral
Angst,122,4,15,16,2,9
Ekel,8,76,15,10,44,15
Freude,11,2,121,9,4,21
Trauer,13,0,13,110,6,26
Wut,13,16,7,0,131,1
neutral,13,6,24,12,24,89
