Prosodischer Ausdruck,Angst,Ekel,Freude,Trauer,Wut,neutral
Angst,62,4,1,26,1,10
Ekel,3,54,10,11,23,3
Freude,1,1,36,5,10,51
Trauer,14,6,2,56,6,20
Wut,0,7,4,2,87,4
neutral,1,4,2,2,14,81
