Prosodischer Ausdruck,Angst,Ekel,Freude,Trauer,Wut,neutral
Angst,61,12,1,22,2,6
Ekel,9,47,9,8,24,7
Freude,8,7,54,8,13,14
Trauer,22,6,3,52,6,15
Wut,1,20,5,1,74,3
neutral,6,4,11,19,13,51
