Prosodischer Ausdruck,Angst,Ekel,Freude,Trauer,Wut,neutral
Angst,118,3,7,16,2,22
Ekel,5,61,12,10,52,28
Freude,2,2,68,2,17,77
Trauer,17,3,7,85,6,50
Wut,1,5,1,1,159,1
neutral,11,6,2,2,32,115
