Prosodischer Ausdruck,Angst,Ekel,Freude,Trauer,Wut,neutral
Angst,99,4,12,33,3,17
Ekel,4,76,16,12,45,15
Freude,0,1,92,6,4,65
Trauer,12,2,10,111,7,26
Wut,3,3,6,0,154,2
neutral,2,6,7,5,21,127
