Prosodischer Ausdruck,Angst,Ekel,Freude,Trauer,Wut,neutral
Angst,60,5,5,18,6,10
Ekel,4,36,12,7,35,10
Freude,0,4,25,2,9,64
Trauer,17,4,3,40,5,35
Wut,0,5,1,0,94,4
neutral,0,1,5,1,18,79
